,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted
Year,,,,,,,,,,,,,,,,,,
Month,,1.0,0.007551922061415957,0.01425570742534624,0.015894775189259885,0.013950861266583316,0.0029724528222555583,0.001320797109246949,0.0048949212834274464,0.010870110000341634,0.0028554972102486325,0.049355540420868135,0.033583890093397926,0.005823776428048934,0.0029437965426399077,0.05272149678276039,0.022098289907748644,0.0017029445600023965
DayofMonth,,0.007551922061415957,1.0,0.00805450387295209,0.0003494724728826998,0.0014684713333699985,0.0009106022885169063,0.00037783922094641615,0.00020280961329666733,0.001101991086227714,9.868468804904286e-05,0.006100334157648933,0.005851647685208222,2.913246889751033e-05,0.0038014382695905373,0.005806678070278875,0.016362769588385787,0.002603953784634003
DayOfWeek,,0.01425570742534624,0.00805450387295209,1.0,0.0073960875043014955,0.0035808389471798643,0.007597706536557258,0.005826043858826166,0.00011118668247097519,0.00834524739972156,0.011549488692837612,0.02076841663630998,0.031643538202621516,0.011849386403409644,0.01765649712772431,0.0047967696303396565,0.023189322258539587,0.0016551164747721763
DepTime,,0.015894775189259885,0.0003494724728826998,0.0073960875043014955,1.0,0.973976463685835,0.6995915978555836,0.7504285403424982,0.008312069966605207,0.03518722447279372,0.03375617867413098,0.1473272207123776,0.16805933378696233,0.037673968813910684,0.02697174923977378,0.04720101337617206,,0.0007224320255087496
CRSDepTime,,0.013950861266583316,0.0014684713333699985,0.0035808389471798643,0.973976463685835,1.0,0.6848425981062318,0.7465595341173711,0.0067452834935544876,0.03525990181227548,0.0330267809938986,0.09944258987564238,0.11654312802927824,0.0357528061817209,0.0262778142139565,0.03862825298630846,0.0023397850182303496,0.0009331102585394882
ArrTime,,0.0029724528222555583,0.0009106022885169063,0.007597706536557258,0.6995915978555836,0.6848425981062318,1.0,0.8948028327539246,0.004857896635968015,0.04584219332625099,0.04550299325956406,0.05841021412622155,0.06374491860456709,0.03475108121558115,0.01999332174132288,0.067692931443434,,
CRSArrTime,,0.001320797109246949,0.00037783922094641615,0.005826043858826166,0.7504285403424982,0.7465595341173711,0.8948028327539246,1.0,0.007062835092371386,0.05160051487954055,0.0547553721736596,0.094811567176602,0.11077095938992502,0.04371510116635481,0.010455003882020879,0.06880636781348395,0.0041100659695733534,0.002554607004356321
FlightNum,,0.0048949212834274464,0.00020280961329666733,0.00011118668247097519,0.008312069966605207,0.0067452834935544876,0.004857896635968015,0.007062835092371386,1.0,0.23428583110728343,0.23326386360483897,0.004382074574220898,0.016068580195180315,0.2771801254660668,0.028931945697740616,0.017536062582803054,0.051678835471498576,0.0036495525818490146
ActualElapsedTime,,0.010870110000341634,0.001101991086227714,0.00834524739972156,0.03518722447279372,0.03525990181227548,0.04584219332625099,0.05160051487954055,0.23428583110728343,1.0,0.9824996060987206,0.07416017623782387,0.03048492138736378,0.970187118142437,0.1816424947238607,0.3190752343134013,,
CRSElapsedTime,,0.0028554972102486325,9.868468804904286e-05,0.011549488692837612,0.03375617867413098,0.0330267809938986,0.04550299325956406,0.0547553721736596,0.23326386360483897,0.9824996060987206,1.0,0.007975489583761063,0.02630479595628643,0.9835615984803646,0.1320421185207363,0.20536397882573265,0.014231223567812343,0.01680324163937687
ArrDelay,,0.049355540420868135,0.006100334157648933,0.02076841663630998,0.1473272207123776,0.09944258987564238,0.05841021412622155,0.094811567176602,0.004382074574220898,0.07416017623782387,0.007975489583761063,1.0,0.9069423315652593,0.00326261055566422,0.09718027135841988,0.29489027855259675,,
DepDelay,,0.033583890093397926,0.005851647685208222,0.031643538202621516,0.16805933378696233,0.11654312802927824,0.06374491860456709,0.11077095938992502,0.016068580195180315,0.03048492138736378,0.02630479595628643,0.9069423315652593,1.0,0.022104572725408347,0.007078994638331671,0.06375208837879656,,0.029388839973892945
Distance,,0.005823776428048934,2.913246889751033e-05,0.011849386403409644,0.037673968813910684,0.0357528061817209,0.03475108121558115,0.04371510116635481,0.2771801254660668,0.970187118142437,0.9835615984803646,0.00326261055566422,0.022104572725408347,1.0,0.10367355810259309,0.16707135130644074,0.022407306646919808,0.015960482154192726
TaxiIn,,0.0029437965426399077,0.0038014382695905373,0.01765649712772431,0.02697174923977378,0.0262778142139565,0.01999332174132288,0.010455003882020879,0.028931945697740616,0.1816424947238607,0.1320421185207363,0.09718027135841988,0.007078994638331671,0.10367355810259309,1.0,0.11938222036679791,0.25605777547956887,0.059385806135424726
TaxiOut,,0.05272149678276039,0.005806678070278875,0.0047967696303396565,0.04720101337617206,0.03862825298630846,0.067692931443434,0.06880636781348395,0.017536062582803054,0.3190752343134013,0.20536397882573265,0.29489027855259675,0.06375208837879656,0.16707135130644074,0.11938222036679791,1.0,0.2888383822189901,0.017591045301937676
Cancelled,,0.022098289907748644,0.016362769588385787,0.023189322258539587,,0.0023397850182303496,,0.0041100659695733534,0.051678835471498576,,0.014231223567812343,,,0.022407306646919808,0.25605777547956887,0.2888383822189901,1.0,0.009347071288325577
Diverted,,0.0017029445600023965,0.002603953784634003,0.0016551164747721763,0.0007224320255087496,0.0009331102585394882,,0.002554607004356321,0.0036495525818490146,,0.01680324163937687,,0.029388839973892945,0.015960482154192726,0.059385806135424726,0.017591045301937676,0.009347071288325577,1.0
