,Feature,Importance,Model
0,DepDelay,0.34960843996587165,Decision Tree
1,TaxiOut,0.10947119970007728,Decision Tree
2,ActualElapsedTime,0.09395683872739591,Decision Tree
3,Distance,0.09325520276777059,Decision Tree
4,DepTime,0.05492275582821757,Decision Tree
5,FlightNum,0.04517347767464008,Decision Tree
6,Origin,0.04453380608344014,Decision Tree
7,TailNum,0.03936894866587335,Decision Tree
8,Dest,0.03728158408967687,Decision Tree
9,TaxiIn,0.03694365979288837,Decision Tree
10,Month,0.03206489906264026,Decision Tree
11,DayofMonth,0.026144558346551397,Decision Tree
12,UniqueCarrier,0.022423858403686235,Decision Tree
13,DayOfWeek,0.014850770891270317,Decision Tree
14,Cancelled,0.0,Decision Tree
15,Diverted,0.0,Decision Tree
16,DepDelay,0.5001803636550903,XGBoost
17,TaxiOut,0.16859965026378632,XGBoost
18,TaxiIn,0.10008200258016586,XGBoost
19,Distance,0.041426096111536026,XGBoost
20,UniqueCarrier,0.03573304042220116,XGBoost
21,ActualElapsedTime,0.033650826662778854,XGBoost
22,Origin,0.029867438599467278,XGBoost
23,DayOfWeek,0.01957041025161743,XGBoost
24,Dest,0.017654119059443474,XGBoost
25,FlightNum,0.015772346407175064,XGBoost
26,TailNum,0.013903871178627014,XGBoost
27,DepTime,0.011929946020245552,XGBoost
28,Month,0.008816412650048733,XGBoost
29,DayofMonth,0.0028135613538324833,XGBoost
30,Cancelled,0.0,XGBoost
31,Diverted,0.0,XGBoost
