,Feature,Importance,Model
0,DepDelay,0.7295883255156917,Decision Tree
1,ActualElapsedTime,0.09152911669214421,Decision Tree
2,Distance,0.0844072829105578,Decision Tree
3,Origin,0.019586171010956832,Decision Tree
4,Dest,0.018872821549175935,Decision Tree
5,DepTime,0.014834934664502742,Decision Tree
6,FlightNum,0.01273796151727438,Decision Tree
7,Month,0.011014765366089968,Decision Tree
8,UniqueCarrier,0.010647738462699103,Decision Tree
9,DayofMonth,0.003943058551759291,Decision Tree
10,DayOfWeek,0.002837823759147999,Decision Tree
11,Cancelled,0.0,Decision Tree
12,Diverted,0.0,Decision Tree
13,DepDelay,0.8631482124328613,XGBoost
14,ActualElapsedTime,0.0355425588786602,XGBoost
15,Distance,0.035529013723134995,XGBoost
16,Origin,0.011849797330796719,XGBoost
17,DayOfWeek,0.010804443620145321,XGBoost
18,UniqueCarrier,0.010160165838897228,XGBoost
19,DepTime,0.008749706670641899,XGBoost
20,Dest,0.007245558779686689,XGBoost
21,Month,0.006653459742665291,XGBoost
22,DayofMonth,0.00555624533444643,XGBoost
23,FlightNum,0.004760797135531902,XGBoost
24,Cancelled,0.0,XGBoost
25,Diverted,0.0,XGBoost
