,UniqueCarrier,Origin,Dest,Month,DayofMonth,DayOfWeek,DepTime,FlightNum,ActualElapsedTime,DepDelay,Distance,Cancelled,Diverted,ArrDelay
1689110,1.141659935790238,0.8867517166937147,0.8424055713297447,-0.4510051182293612,0.03261022237391308,0.03688452191211188,1.4577059226665925,2.1935472105317273,-0.6280436264059784,0.4608419715471781,-0.7279202388814311,0.0,0.0,16.0
52548,1.141659935790238,0.5935247208421023,-1.1349368173623646,-1.6232660553710017,-1.1073459523368796,1.5448185263559244,-0.21198057444859478,1.433270019790435,-0.7824110803103755,-0.37888333123931345,-0.9407696287780933,0.0,0.0,12.0
784982,1.141659935790238,-1.304734252302546,-1.4438965655955067,-1.0371355868001815,-1.5633284222211967,1.042173858207987,-0.2710098950536772,-1.0537063628583208,0.020299679992488898,-0.033114088915463996,-0.11238281404513746,0.0,0.0,-3.0
1583798,-0.9554657959537631,-0.9343422575426147,-1.4902405278304782,-0.7440703525147713,0.03261022237391308,-0.9684048143837631,-0.4185831965663831,-1.0764012043729863,-0.242124991644986,-0.28009211914678506,-0.367418569506904,0.0,0.0,8.0
3255820,-1.4797472288897635,-0.903476257979287,-1.6447204019470492,0.4281905846268692,1.0585707796136266,1.5448185263559244,0.1780345795492709,-0.3898822485543563,-0.9213417888243328,-0.23069651310052083,-0.875572518359296,0.0,0.0,-5.0
2882793,-0.9554657959537631,1.1645457127636631,-0.7178411572476229,0.13512535034145906,-1.3353371872790383,0.03688452191211188,-1.1311514238705918,-0.28397298815258426,0.5760225140483181,-0.28009211914678506,0.8080469801025914,0.0,0.0,-19.0
983526,0.8795192193222379,1.6121027064319136,-0.1771615978396242,-1.0371355868001815,-1.3353371872790383,-1.4710494825317006,1.0550416285390662,1.512701965091764,0.1592303885064462,-0.32948772519304925,0.3133159657481871,0.0,0.0,-3.0
4172096,-0.9554657959537631,1.6121027064319136,-0.1617136104279671,1.0143210531976894,-1.3353371872790383,0.5395291900600494,-0.08127279310876953,0.5273675959967056,0.4834020417056799,-0.28009211914678506,0.2692120381119418,0.0,0.0,19.0
3270842,-1.4797472288897635,1.0410817145103528,-1.335760653713907,0.4281905846268692,-0.42337224751040403,-1.4710494825317006,0.11689706892257844,0.43469699314515503,-0.4582394271111418,-0.37888333123931345,-0.3060565832303887,0.0,0.0,-6.0
414618,1.141659935790238,1.6275357062135773,-1.1349368173623646,-1.3302008210855916,-1.3353371872790383,-1.4710494825317006,-0.40382586641511253,-0.8853862882912187,-1.1220194789000488,-0.4282789372855777,-1.009801863339173,0.0,0.0,-4.0
710207,-1.4797472288897635,0.778720718222068,1.0432294076812871,-1.3302008210855916,-0.08138539509716619,0.5395291900600494,0.9917959278907637,0.09427437042517327,-0.0105738107883905,0.16446833526959284,-0.016504710488082382,0.0,0.0,1.0
1224656,1.141659935790238,-1.5825282483724945,-1.3048646788905929,-0.7440703525147713,-1.6773240396922762,-1.4710494825317006,-1.460029067241765,-0.3615136966610245,-0.6434803717964181,-0.23069651310052083,-0.6972392457431734,0.0,0.0,4.0
1521390,-1.4797472288897635,0.7169887190954128,-0.9650089558341366,-0.7440703525147713,0.6025883097293094,1.5448185263559244,0.11900525894418852,-1.049923889272543,-0.6434803717964181,-0.28009211914678506,-0.7796944148022408,0.0,0.0,0.0
1597435,-0.9554657959537631,-0.7182802605993214,1.5684609796776285,-0.7440703525147713,0.26060145731607165,0.03688452191211188,1.0634743886255065,-0.11376167679259336,-0.5817333902346594,-0.28009211914678506,-0.8679022700747315,0.0,0.0,-3.0
3042130,0.09309706991823745,1.6121027064319136,-0.9495609684224795,0.4281905846268692,0.9445751621425473,1.042173858207987,-0.2794426551401175,2.015770952000181,0.1129201523351271,-0.4776745433318419,0.3209862140327515,0.0,0.0,-14.0
3892085,0.09309706991823745,-0.9497752573242785,0.28627802451008894,1.0143210531976894,-1.221341569807959,1.042173858207987,-0.9203324217095833,1.9495776642490739,0.4834020417056799,-0.4282789372855777,0.2155203001199909,0.0,0.0,2.0
977171,0.8795192193222379,0.62439072040543,1.2903972062678009,-1.0371355868001815,1.2865620145557852,-0.4657601462358256,1.1688838897060108,0.8167268253086901,0.3599080785821623,-0.18130090705425664,0.04677483785957397,0.0,0.0,21.0
1451719,-0.6933250794857629,-0.903476257979287,1.3367411685027721,-0.7440703525147713,0.14660583984499237,-0.4657601462358256,-0.46917975708502513,0.5103464648607066,-0.9367785342147725,-0.23069651310052083,-0.875572518359296,0.0,0.0,5.0
3451760,0.09309706991823745,-0.9497752573242785,0.33262198674506027,0.7212558189122793,-0.30937663003932475,0.5395291900600494,1.0128778281068644,-0.41825080044768814,0.4062183147534814,-0.0825096949617282,0.22127298633341422,0.0,0.0,6.0
2019951,-0.9554657959537631,-0.9343422575426147,1.305845193679458,-0.4510051182293612,-1.3353371872790383,1.042173858207987,0.9833631678043233,-0.5014652193347948,0.5760225140483181,0.658424395732235,0.6143732109173401,0.0,0.0,4.0
